alpha,alphap,beta,Role
building,name,yes,Useful Combination
building,height,yes,Useful Combination
building,building:levels,yes,Useful Combination
building,name,commercial,Useful Combination
building,building:levels,commercial,Useful Combination
building,name,apartments,Useful Combination
building,name,residential,Useful Combination
building,height,residential,Useful Combination
building,building:levels,residential,Useful Combination
building,name,yes,Useful Combination
building,building:levels,yes,Useful Combination
building,height,yes,Useful Combination
amenity,atm,bank,Useful Combination
tourism,addr:housenumber,hotel,Useful Combination
tourism,addr:street,hotel,Useful Combination
tourism,name:en,hotel,Useful Combination
tourism,building,hotel,NonUseful Combination
highway,construction,construction,Useful Combination
highway,name,residential,Useful Combination
highway,oneway,residential,Useful Combination
highway,surface,residential,Useful Combination
highway,name,primary,Useful Combination
highway,lanes,primary,Useful Combination
highway,source,primary,Useful Combination
highway,surface,primary,Useful Combination
highway,layer,primary,NonUseful Combination
highway,name,tertiary,Useful Combination
highway,oneway,tertiary,Useful Combination
highway,name,secondary,Useful Combination
highway,lanes,secondary,Useful Combination
highway,lit,secondary,Useful Combination
highway,surface,secondary,Useful Combination
highway,layer,secondary,NonUseful Combination
highway,motorroad,trunk,Useful Combination
highway,source,trunk,Useful Combination
highway,bridge,trunk,Useful Combination
highway,layer,trunk,NonUseful Combination
highway,maxspeed,trunk,Useful Combination
highway,bridge,trunk_link,Useful Combination
highway,layer,trunk_link,NonUseful Combination
highway,bridge,footway,Useful Combination
highway,layer,footway,NonUseful Combination
highway,footway,footway,Required Combination
highway,oneway,service,Useful Combination
highway,traffic_signals,traffic_signals,Required Combination
highway,name,tertiary,Useful Combination
highway,oneway,tertiary,Useful Combination
highway,lanes,tertiary,Useful Combination
highway,name,primary,Useful Combination
highway,lanes,primary,Useful Combination
highway,layer,primary,NonUseful Combination
highway,name,residential,Useful Combination
highway,oneway,residential,Useful Combination
highway,source,residential,Useful Combination
highway,layer,footway,NonUseful Combination
highway,bridge,footway,Useful Combination
highway,footway,footway,Required Combination
highway,bicycle,path,Useful Combination
highway,foot,path,Useful Combination
highway,segregated,path,Useful Combination
