alpha,alphap,beta,Role
building,addr:street,yes,Useful Combination
building,name,yes,Useful Combination
building,addr:city,yes,Useful Combination
building,shop,yes,NonUseful Combination
building,name:de,yes,Useful Combination
building,name:en,yes,Useful Combination
building,name:es,yes,Useful Combination
building,name:fr,yes,Useful Combination
building,name:it,yes,Useful Combination
building,name:nl,yes,Useful Combination
building,name:pl,yes,Useful Combination
building,name:pt,yes,Useful Combination
building,name:ru,yes,Useful Combination
building,office,yes,NonUseful Combination
building,building:levels,yes,Useful Combination
building,source,yes,Useful Combination
building,amenity,yes,NonUseful Combination
building,addr:city,yes,Useful Combination
building,addr:street,yes,Useful Combination
building,name,yes,Useful Combination
building,addr:housenumber,yes,Useful Combination
amenity,addr:city,restaurant,Useful Combination
amenity,addr:housenumber,restaurant,Useful Combination
amenity,addr:street,restaurant,Useful Combination
amenity,phone,restaurant,NonUseful Combination
amenity,opening_hours,restaurant,Useful Combination
amenity,cuisine,restaurant,Useful Combination
amenity,name,parking,Useful Combination
amenity,access,parking,Useful Combination
amenity,addr:city,bank,Useful Combination
amenity,addr:street,bank,Useful Combination
amenity,name:fr,bank,Useful Combination
amenity,opening_hours,bank,Useful Combination
amenity,website,bank,Useful Combination
amenity,atm,bank,Useful Combination
amenity,brand,bank,Useful Combination
amenity,brand:en,bank,Useful Combination
amenity,brand:es,bank,Useful Combination
amenity,brand:wikidata,bank,Useful Combination
amenity,brand:wikipedia,bank,Useful Combination
amenity,name:de,bank,Useful Combination
amenity,name:en,bank,Useful Combination
amenity,name:es,bank,Useful Combination
amenity,name:it,bank,Useful Combination
amenity,name:nl,bank,Useful Combination
amenity,name:pl,bank,Useful Combination
amenity,name:pt,bank,Useful Combination
amenity,name:ru,bank,Useful Combination
amenity,operator,bank,Useful Combination
amenity,brand:pt,bank,Useful Combination
amenity,addr:city,bank,Useful Combination
amenity,brand,bank,Useful Combination
amenity,brand:en,bank,Useful Combination
amenity,brand:wikidata,bank,Useful Combination
amenity,name:de,bank,Useful Combination
amenity,name:en,bank,Useful Combination
amenity,name:es,bank,Useful Combination
amenity,name:fr,bank,Useful Combination
amenity,name:it,bank,Useful Combination
amenity,name:nl,bank,Useful Combination
amenity,name:pl,bank,Useful Combination
amenity,name:pt,bank,Useful Combination
amenity,name:ru,bank,Useful Combination
amenity,addr:street,bank,Useful Combination
amenity,atm,bank,Useful Combination
amenity,addr:street,restaurant,Useful Combination
tourism,stars,hotel,Useful Combination
tourism,addr:city,hotel,Useful Combination
tourism,addr:street,hotel,Useful Combination
tourism,building,hotel,NonUseful Combination
tourism,building:levels,hotel,NonUseful Combination
tourism,building,hotel,NonUseful Combination
highway,crossing_ref,crossing,Useful Combination
highway,source,crossing,Useful Combination
highway,traffic_signals:direction,traffic_signals,Useful Combination
highway,traffic_signals,traffic_signals,Required Combination
highway,source,primary,Useful Combination
highway,destination,primary,Useful Combination
highway,parking:lane:right,primary,Useful Combination
highway,old_name,primary,Useful Combination
highway,ref,primary,Useful Combination
highway,alt_name,primary,Useful Combination
highway,maxspeed,primary,Useful Combination
highway,lanes,secondary,Useful Combination
highway,oneway,secondary,Useful Combination
highway,old_name,secondary,Useful Combination
highway,lanes:both_ways,secondary,Useful Combination
highway,name,unclassified,Useful Combination
highway,source,unclassified,Useful Combination
highway,lanes,unclassified,Useful Combination
highway,oneway,unclassified,Useful Combination
highway,old_name,unclassified,Useful Combination
highway,lanes:both_ways,unclassified,Useful Combination
highway,name,tertiary,Useful Combination
highway,source,tertiary,Useful Combination
highway,lanes,tertiary,Useful Combination
highway,oneway,tertiary,Useful Combination
highway,parking:lane:right,tertiary,Useful Combination
highway,old_name,tertiary,Useful Combination
highway,lanes:both_ways,tertiary,Useful Combination
highway,junction,tertiary,Useful Combination
highway,name,residential,Useful Combination
highway,source,residential,Useful Combination
highway,lanes,residential,Useful Combination
highway,oneway,residential,Useful Combination
highway,surface,residential,Useful Combination
highway,old_name,residential,Useful Combination
highway,source,service,Useful Combination
highway,oneway,service,Useful Combination
highway,surface,service,Useful Combination
highway,service,service,Required Combination
highway,access,service,Useful Combination
highway,covered,service,Useful Combination
highway,footway,footway,Required Combination
highway,alt_name,secondary,Useful Combination
highway,lanes,secondary,Useful Combination
highway,old_name,secondary,Useful Combination
highway,parking:lane:both,secondary,Useful Combination
highway,parking:lane:right,secondary,Useful Combination
highway,source,secondary,Useful Combination
highway,maxspeed,secondary,Useful Combination
highway,lanes:both_ways,secondary,Useful Combination
highway,turn:lanes,secondary,Useful Combination
highway,destination,secondary,Useful Combination
highway,old_name,tertiary,Useful Combination
highway,lanes,residential,Useful Combination
highway,name,residential,Useful Combination
highway,old_name,residential,Useful Combination
highway,oneway,residential,Useful Combination
highway,parking:lane:both,residential,Useful Combination
highway,surface,residential,Useful Combination
highway,source,residential,Useful Combination
highway,lanes,unclassified,Useful Combination
highway,name,unclassified,Useful Combination
highway,old_name,unclassified,Useful Combination
highway,oneway,unclassified,Useful Combination
highway,surface,unclassified,Useful Combination
highway,source,unclassified,Useful Combination
highway,surface,service,Useful Combination
