alpha,alphap,beta,Role
building,layer,yes,NonUseful Combination
building,building:levels,yes,Useful Combination
building,addr:city,yes,Useful Combination
building,addr:street,yes,Useful Combination
building,name,yes,Useful Combination
building,shop,yes,NonUseful Combination
building,source,yes,Useful Combination
building,amenity,yes,NonUseful Combination
building,addr:city,yes,Useful Combination
building,addr:housenumber,yes,Useful Combination
building,addr:street,yes,Useful Combination
building,amenity,yes,NonUseful Combination
building,name,yes,Useful Combination
building,wikidata,yes,Useful Combination
building,wikipedia,yes,Useful Combination
building,height,yes,Useful Combination
building,building:levels,yes,Useful Combination
building,shop,yes,NonUseful Combination
building,tourism,yes,NonUseful Combination
building,source,yes,Useful Combination
building,office,yes,NonUseful Combination
building,building:levels,commercial,Useful Combination
amenity,contact:phone,school,Useful Combination
tourism,addr:housenumber,hotel,Useful Combination
tourism,addr:street,hotel,Useful Combination
tourism,addr:city,hotel,Useful Combination
tourism,addr:postcode,hotel,Useful Combination
tourism,phone,hotel,NonUseful Combination
tourism,source,hotel,Useful Combination
tourism,website,hotel,Useful Combination
tourism,email,hotel,NonUseful Combination
tourism,internet_access,hotel,Useful Combination
tourism,name:es,hotel,Useful Combination
tourism,building,hotel,NonUseful Combination
tourism,artist_name,artwork,Useful Combination
highway,oneway,tertiary,Useful Combination
highway,lanes,residential,Useful Combination
highway,oneway,residential,Useful Combination
highway,lanes,living_street,Useful Combination
highway,oneway,living_street,Useful Combination
highway,surface,living_street,Useful Combination
highway,traffic_signals,traffic_signals,Required Combination
highway,crossing,crossing,Required Combination
highway,crossing_ref,crossing,Useful Combination
highway,kerb,crossing,Useful Combination
highway,ts_zona_paga,bus_stop,NonUseful Combination
highway,bus,bus_stop,Useful Combination
highway,public_transport,bus_stop,Useful Combination
highway,lanes,unclassified,Useful Combination
highway,lanes,residential,Useful Combination
highway,oneway,residential,Useful Combination
highway,cycleway:right,primary,Useful Combination
highway,turn:lanes,primary,Useful Combination
highway,alt_name,primary,Useful Combination
highway,access,tertiary,Useful Combination
highway,motor_vehicle:conditional,secondary,Useful Combination
highway,psv:conditional,secondary,Useful Combination
highway,surface,pedestrian,Useful Combination
highway,area,pedestrian,Useful Combination
highway,name,footway,Useful Combination
highway,surface,footway,Useful Combination
highway,access,footway,Useful Combination
highway,motor_vehicle,footway,Useful Combination
highway,layer,footway,NonUseful Combination
highway,tunnel,footway,Useful Combination
highway,horse,footway,Useful Combination
highway,footway,footway,Required Combination
highway,access,service,Useful Combination
